student_id,course,student_cohort,academic_status,failed_subjects,study_skills(attended),referral,pp_meeting,self_assessment,readiness_assessment_results,follow_up,follow_up_type,subject_1,subject_1_assess_1,subject_1_assess_2,subject_1_assess_3,subject_1_assess_4,attendance_1,learn_jcu_issues_1,lecturer_referral_1,subject_2,subject_2_assess_1,subject_2_assess_2,subject_2_assess_3,subject_2_assess_4,attendance_2,learn_jcu_issues_2,lecturer_referral_2,subject_3,subject_3_assess_1,subject_3_assess_2,subject_3_assess_3,subject_3_assess_4,attendance_3,learn_jcu_issues_3,lecturer_referral_3,comments,identified_issues,course_group
1,master of business administration,SRI to JCUB,At Risk,0,Essential Skills,Student Counsellor,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,7.7,27.22,26.51,50.09,20,Access,Concern for Welfare,LB5202,69.33,44.44,11.39,18.78,41,Access,Attendance,LB5205,39.02,17.71,94.5,9.83,89,Access,Non Submission,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,Late Enrollment,Non-IT
2,master of business administration,Continuing,Excluded,0,Referencing,Student Advocate,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,31.14,54.66,81.72,1.96,9,Access,Non Submission,LB5202,95.23,48.61,14.68,44.77,66,No Access,Concern for Welfare,LB5205,3.72,38.52,25.8,11.8,100,No Access,Non Submission,booked to see a doctor. Week 5. Student contacted for low attendance. Reminded of the importance of attending classes. Week 7. Student contacted for missing submission due date. Referred to Counsellor for check in for wellbeing as the student advised mental health challenges.,Poor time management,Non-IT
3,master of business administration,First year,At Risk,0,Writing,Enrollment,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Phone,LB5113,39.09,75.39,84.62,82.66,51,No Access,Attendance,LB5202,86.2,98.8,71.57,96.08,64,No Access,Concern for Welfare,LB5205,77.77,77.27,81.95,62.35,42,Access,Attendance,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,Poor time management,Non-IT
4,master of business administration,New,Excluded,0,Essential Skills,Student Advocate,Attended,No,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,88.59,84.36,3.79,26.05,34,Access,Concern for Welfare,LB5202,7.69,25.96,49.83,17.77,57,Access,Non Submission,LB5205,95.41,8.93,3.21,99.15,51,Access,Concern for Welfare,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Death in family,Non-IT
5,master of business administration,Continuing,At Risk,0,Essential Skills and Reading,Student Counsellor,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,0.98,13.8,53.4,39.69,45,Access,Attendance,LB5202,60.51,57.47,15.8,33.59,3,No Access,Concern for Welfare,LB5205,90.12,52.18,36.05,20.65,19,Access,Concern for Welfare,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,Sickness,Non-IT
6,master of business administration,Return to Study,At Risk,0,4R Essential Skills,Lecturer,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,71.31,99.73,37.14,87.24,95,Access,Attendance,LB5202,37.97,8.69,83.08,43.12,91,No Access,Non Submission,LB5205,95.15,23.09,81.82,53.18,82,Access,Non Submission,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,Death in family,Non-IT
7,master of business administration,Transferred,At Risk,0,Studiocity,Lecturer,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,No,Email,LB5113,27.76,47.54,23.38,1.1,80,No Access,Concern for Welfare,LB5202,77.34,8.59,27.21,90.79,99,Access,Attendance,LB5205,74.08,65.74,89.04,0.99,89,Access,Non Submission,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Death in family,Non-IT
8,master of business administration,LOA,At Risk,0,Essential Skills and Reading,Student Advocate,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,23.1,12.35,36.5,9.77,62,Access,Attendance,LB5202,94.17,44.58,13.25,83.5,79,No Access,Attendance,LB5205,39.49,9.08,89.47,52.12,22,Access,Concern for Welfare,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,Late Enrollment,Non-IT
9,master of business administration,LOA,At Risk,0,Referencing,Student Counsellor,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,11.87,32.22,84.23,93.57,47,Access,Attendance,LB5202,70.63,64.3,33.34,98.06,30,Access,Concern for Welfare,LB5205,50.38,83.0,54.15,46.42,42,Access,Non Submission,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Mental health,Non-IT
10,master of business administration,First year,Academic Caution,2,4R Essential Skills,Other,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,28.15,48.13,69.41,38.56,52,Access,Attendance,LB5202,34.91,78.54,33.45,35.19,37,Access,Concern for Welfare,LB5205,88.94,86.0,33.41,74.05,77,No Access,Attendance,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,Mental health,Non-IT
11,master of business administration,SRI to JCUB,At Risk,0,Referencing,Student Counsellor,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,8.82,76.41,15.74,44.87,41,Access,Concern for Welfare,LB5202,50.03,19.21,16.96,76.16,100,Access,Non Submission,LB5205,76.58,16.39,86.74,62.29,50,Access,Attendance,Week 3. First contact made. Student reported internet access issues at home. IT support referral provided.,Poor time management,Non-IT
