student_id,course,student_cohort,academic_status,failed_subjects,study_skills(attended),referral,pp_meeting,self_assessment,readiness_assessment_results,follow_up,follow_up_type,subject_1,subject_1_assess_1,subject_1_assess_2,subject_1_assess_3,subject_1_assess_4,attendance_1,learn_jcu_issues_1,lecturer_referral_1,subject_2,subject_2_assess_1,subject_2_assess_2,subject_2_assess_3,subject_2_assess_4,attendance_2,learn_jcu_issues_2,lecturer_referral_2,subject_3,subject_3_assess_1,subject_3_assess_2,subject_3_assess_3,subject_4_assess_4,attendance_3,learn_jcu_issues_3,lecturer_referral_3,comments,identified_issues
1,Master of Business Administration,SRI to JCUB,At Risk,,Essential Skills,Student Counsellor,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,,7.7,27.22,26.51,50.09,20,Access,Concern for Welfare,,69.33,44.44,11.39,18.78,41,Access,Attendance,,39.02,17.71,94.5,9.83,89,Access,Non Submission,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,Late Enrollment
2,Master of Business Administration,Continuing,Excluded,,Referencing,Student Advocate,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,,31.14,54.66,81.72,1.96,9,Access,Non Submission,,95.23,48.61,14.68,44.77,66,No Access,Concern for Welfare,,3.72,38.52,25.8,11.8,100,No Access,Non Submission,booked to see a doctor. Week 5. Student contacted for low attendance. Reminded of the importance of attending classes. Week 7. Student contacted for missing submission due date. Referred to Counsellor for check in for wellbeing as the student advised mental health challenges.,Poor time management
3,Master of Business Administration,First year,At Risk,,Writing,Enrollment,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Phone,,39.09,75.39,84.62,82.66,51,No Access,Attendance,,86.2,98.8,71.57,96.08,64,No Access,Concern for Welfare,,77.77,77.27,81.95,62.35,42,Access,Attendance,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,Poor time management
4,Master of Business Administration,New,Excluded,,Essential Skills,Student Advocate,Attended,No,L/G:9/10 N:5/10 R:8/10,No,F2F,,88.59,84.36,3.79,26.05,34,Access,Concern for Welfare,,7.69,25.96,49.83,17.77,57,Access,Non Submission,,95.41,8.93,3.21,99.15,51,Access,Concern for Welfare,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Death in family
5,Master of Business Administration,Continuing,At Risk,,Essential Skills and Reading,Student Counsellor,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,,0.98,13.8,53.4,39.69,45,Access,Attendance,,60.51,57.47,15.8,33.59,3,No Access,Concern for Welfare,,90.12,52.18,36.05,20.65,19,Access,Concern for Welfare,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,Sickness
6,Master of Business Administration,Return to Study,At Risk,,4R Essential Skills,Lecturer,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,F2F,,71.31,99.73,37.14,87.24,95,Access,Attendance,,37.97,8.69,83.08,43.12,91,No Access,Non Submission,,95.15,23.09,81.82,53.18,82,Access,Non Submission,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,Death in family
7,Master of Business Administration,Transferred,At Risk,,Studiocity,Lecturer,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,No,Email,,27.76,47.54,23.38,1.1,80,No Access,Concern for Welfare,,77.34,8.59,27.21,90.79,99,Access,Attendance,,74.08,65.74,89.04,0.99,89,Access,Non Submission,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Death in family
8,Master of Business Administration,LOA,At Risk,,Essential Skills and Reading,Student Advocate,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Email,,23.1,12.35,36.5,9.77,62,Access,Attendance,,94.17,44.58,13.25,83.5,79,No Access,Attendance,,39.49,9.08,89.47,52.12,22,Access,Concern for Welfare,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,Late Enrollment
9,Master of Business Administration,LOA,At Risk,,Referencing,Student Counsellor,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,F2F,,11.87,32.22,84.23,93.57,47,Access,Attendance,,70.63,64.3,33.34,98.06,30,Access,Concern for Welfare,,50.38,83.0,54.15,46.42,42,Access,Non Submission,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Mental health
10,Master of Business Administration,First year,Academic Caution,,4R Essential Skills,Other,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,,28.15,48.13,69.41,38.56,52,Access,Attendance,,34.91,78.54,33.45,35.19,37,Access,Concern for Welfare,,88.94,86.0,33.41,74.05,77,No Access,Attendance,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,Mental health
11,Master of Business Administration,SRI to JCUB,At Risk,,Referencing,Student Counsellor,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,No,Phone,,8.82,76.41,15.74,44.87,41,Access,Concern for Welfare,,50.03,19.21,16.96,76.16,100,Access,Non Submission,,76.58,16.39,86.74,62.29,50,Access,Attendance,Week 3. First contact made. Student reported internet access issues at home. IT support referral provided.,Poor time management
12,Master of Business Administration,Excluded,At Risk,,Writing,Other,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,23.33,99.33,48.58,43.4,98,No Access,Non Submission,,2.18,10.71,87.8,98.26,26,Access,Concern for Welfare,,98.14,74.56,79.22,66.83,57,Access,Non Submission,Week 3. Student enrolled late. Missing foundational content from Weeks 1–2. Provided links to recorded lectures and encouraged to attend tutorials for extra support.,Mental health
13,Master of Business Administration,Excluded,Academic Caution,,4R Essential Skills,Enrollment,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,Phone,,62.65,2.8,21.66,76.31,76,Access,Concern for Welfare,,35.24,18.69,30.59,27.53,96,Access,Concern for Welfare,,4.88,28.59,57.05,66.24,49,No Access,Attendance,Week 3. First contact made. Student reported internet access issues at home. IT support referral provided.,Sickness
14,Master of Business Administration,Continuing,Excluded,,Referencing,Student Advocate,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,Phone,,86.44,72.51,41.21,13.6,90,Access,Attendance,,7.96,36.61,10.16,18.99,57,Access,Concern for Welfare,,22.1,63.23,28.87,14.86,48,Access,Concern for Welfare,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,Late Enrollment
