student_id,course,student_cohort,academic_status,failed_subjects,study_skills(attended),referral,pp_meeting,self_assessment,readiness_assessment_results,follow_up,follow_up_type,subject_1,subject_1_assess_1,subject_1_assess_2,subject_1_assess_3,subject_1_assess_4,attendance_1,learn_jcu_issues_1,lecturer_referral_1,subject_2,subject_2_assess_1,subject_2_assess_2,subject_2_assess_3,subject_2_assess_4,attendance_2,learn_jcu_issues_2,lecturer_referral_2,subject_3,subject_3_assess_1,subject_3_assess_2,subject_3_assess_3,subject_4_assess_4,attendance_3,learn_jcu_issues_3,lecturer_referral_3,comments,identified_issues
41252,Master of Professional Accounting,SRI to JCUB,Satisfactory,,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,76.54,64.58,88.61,96.08,90,Access,Concern for Welfare,,84.15,88.37,89.98,78.51,87,Access,Attendance,,88.98,91.16,84.23,80.35,92,Access,Non Submission,Week 7. Student maintaining good academic standards.,Academic progression
65027,Bachelor of Commerce,LOA,Academic Caution,,,,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Email,,60.43,61.87,66.4,89.23,79,Access,Attendance,,44.45,50.45,43.38,56.55,78,Access,Concern for Welfare,,84.38,85.95,90.59,100.0,71,Access,Non Submission,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Poor time management
93748,Bachelor of Information Technology,New,Conditional,CP1401,Referencing,Lecturer,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,Phone,,81.98,92.03,79.0,71.31,98,No Access,Concern for Welfare,,61.37,59.8,60.52,58.38,100,Access,Concern for Welfare,,80.91,85.05,80.25,84.09,88,Access,Non Submission,Week 7. Student maintaining good academic standards.,Academic progression
91633,Bachelor of Commerce,Continuing,Satisfactory,,,,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,,79.92,73.53,89.25,86.58,80,Access,Concern for Welfare,,92.27,93.6,92.91,71.75,82,Access,Non Submission,,82.89,83.66,84.64,84.39,79,Access,Concern for Welfare,Week 5. Good progress on assessments. No concerns identified.,Study skills
69914,Master of International Tourism and Hospitality Management - Master of Business Administration,Continuing,Conditional,CP1404,,,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Email,,64.38,70.98,69.22,87.44,87,No Access,Attendance,,49.21,44.47,53.28,63.25,84,Access,Attendance,,67.75,57.45,55.73,47.5,84,No Access,Non Submission,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Study skills
18232,"Bachelor of Tourism, Hospitality and Events",Excluded,Conditional,,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,Phone,,28.16,30.25,27.41,16.06,70,Access,Non Submission,,51.72,52.6,36.79,22.08,68,Access,Attendance,,56.05,53.65,53.34,68.29,66,No Access,Non Submission,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,Late enrollment
24530,Master of Professional Accounting,Return to Study,Conditional,,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,81.38,76.24,71.01,60.86,84,Access,Attendance,,89.73,72.71,90.56,87.28,88,Access,Attendance,,89.38,97.23,74.7,81.72,75,Access,Non Submission,Week 8. Strong performance across all subjects. No intervention needed.,Study skills
75513,Master of Information Technology - Master of Business Administration,Continuing,Conditional,,,,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Phone,,19.99,24.89,27.01,50.75,79,Access,Non Submission,,63.41,58.09,53.33,65.81,69,Access,Concern for Welfare,,85.46,81.87,85.68,100.0,59,No Access,Attendance,Week 7. Missed second assessment. Student contacted and reported feeling overwhelmed. Referred to Academic Support and encouraged to speak with Counsellor.,Late enrollment
88215,Master of Information Technology - Master of Business Administration,LOA,Conditional,,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,,79.23,77.73,71.63,57.74,98,No Access,Non Submission,,86.44,83.5,82.37,87.68,90,Access,Non Submission,,75.97,79.08,72.73,66.72,82,Access,Attendance,Week 3. Student performing well. Consistent attendance and engagement.,Academic progression
80261,Master of Engineering Management,Transferred,Excluded,CP1407,Essential Skills,Student Advocate,Booked,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,,10.31,23.33,39.16,65.6,44,Access,Attendance,,35.94,40.07,51.07,62.06,32,Access,Attendance,,0.0,14.87,1.02,0.0,33,No Access,Attendance,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival.,Death in family
12154,Postgraduate Qualifying Program - Business,New,Conditional,CP1401,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,32.46,31.96,38.46,41.21,83,No Access,Non Submission,,51.99,61.0,53.39,58.21,75,Access,Non Submission,,77.31,76.33,97.92,100.0,77,Access,Concern for Welfare,Week 7. Missed second assessment. Student contacted and reported feeling overwhelmed. Referred to Academic Support and encouraged to speak with Counsellor.,Poor time management
92831,Master of Business Administration,Transferred,Academic Caution,,,,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Email,,84.97,77.17,90.14,85.02,58,No Access,Attendance,,76.79,72.97,79.7,73.35,57,Access,Concern for Welfare,,74.06,68.81,90.89,87.36,47,No Access,Attendance,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Late enrollment
77551,"Bachelor of Tourism, Hospitality and Events",Return to Study,Satisfactory,,,,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,,53.85,61.46,47.94,44.89,86,No Access,Concern for Welfare,,71.13,60.63,70.36,85.16,82,No Access,Non Submission,,87.04,88.89,98.16,91.01,88,Access,Non Submission,Week 8. Strong performance across all subjects. No intervention needed.,Study skills
85372,Master of International Tourism and Hospitality Management,First year,Satisfactory,,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,66.09,69.26,64.79,61.18,86,Access,Attendance,,60.59,43.94,68.77,75.78,84,Access,Non Submission,,85.82,82.33,78.7,75.21,80,No Access,Attendance,Week 3. Student performing well. Consistent attendance and engagement.,Academic progression
41711,Master of Professional Accounting,SRI to JCUB,Satisfactory,,,,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,,80.25,78.4,88.27,80.2,82,Access,Concern for Welfare,,73.06,72.5,85.33,93.95,75,No Access,Concern for Welfare,,95.95,85.17,97.25,100.0,76,No Access,Concern for Welfare,Week 3. Student performing well. Consistent attendance and engagement.,Academic progression
28818,Postgraduate Qualifying Program - Business,LOA,Satisfactory,,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,,77.44,70.93,94.29,100.0,90,No Access,Non Submission,,61.96,61.83,58.82,90.66,92,No Access,Attendance,,87.6,88.0,86.48,97.33,89,Access,Non Submission,Week 7. Student maintaining good academic standards.,Academic progression
48177,Postgraduate Qualifying Program - Business,SRI to JCUB,Academic Caution,,Referencing,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,Phone,,57.98,34.69,64.41,67.96,57,Access,Concern for Welfare,,21.4,28.44,43.86,61.77,56,No Access,Non Submission,,64.81,79.24,56.51,30.06,48,No Access,Attendance,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,Mental health
66261,Master of Data Science (Professional),First year,Academic Caution,,,Student Counsellor,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,51.82,49.84,38.08,30.27,43,No Access,Attendance,,58.1,56.9,50.23,43.61,43,No Access,Attendance,,44.65,29.21,43.22,26.38,34,Access,Attendance,Week 3. Student enrolled late. Missing foundational content from Weeks 1–2. Provided links to recorded lectures and encouraged to attend tutorials for extra support.,Poor time management
10205,Master of Professional Account and Master of Business Administration,New,Satisfactory,CP1407,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,77.91,65.42,88.04,88.19,91,Access,Non Submission,,68.48,70.84,59.82,58.84,86,Access,Non Submission,,66.21,61.76,70.27,58.63,78,Access,Non Submission,Week 8. Strong performance across all subjects. No intervention needed.,Time management
90584,"Bachelor of Tourism, Hospitality and Events",First year,Conditional,,,,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Phone,,36.03,38.02,35.77,37.66,58,No Access,Concern for Welfare,,64.91,65.37,71.0,75.21,57,No Access,Non Submission,,29.89,15.91,49.17,58.81,34,No Access,Attendance,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Poor time management
56244,Master of International Tourism and Hospitality Management,Excluded,Satisfactory,,Referencing,,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,,81.4,78.64,80.82,75.09,100,No Access,Non Submission,,100.0,100.0,94.65,72.16,100,Access,Attendance,,98.68,97.38,100.0,100.0,93,Access,Attendance,Week 8. Strong performance across all subjects. No intervention needed.,Time management
41531,Bachelor of Business,First year,Satisfactory,,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,Phone,,64.45,69.83,58.4,43.5,100,Access,Attendance,,88.97,87.71,94.16,100.0,100,Access,Attendance,,82.66,70.2,76.8,69.98,96,No Access,Non Submission,Week 5. Good progress on assessments. No concerns identified.,Study skills
84798,Master of Education - Master of Business Administration,Continuing,Satisfactory,,4R Essential Skills,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,60.02,63.45,71.89,93.97,93,Access,Concern for Welfare,,70.93,73.27,75.39,85.07,92,No Access,Attendance,,64.46,79.03,73.73,89.79,99,Access,Concern for Welfare,Week 8. Strong performance across all subjects. No intervention needed.,Time management
64600,Master of International Tourism and Hospitality Management - Master of Business Administration,Continuing,Conditional,,,Student Counsellor,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,73.05,77.32,62.78,55.97,63,Access,Attendance,,35.23,38.55,33.54,32.21,59,Access,Attendance,,78.06,74.4,75.54,74.54,61,No Access,Non Submission,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Late enrollment
34551,Bachelor of Information Technology,First year,Satisfactory,,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,47.92,45.79,23.06,3.61,97,Access,Non Submission,,85.26,88.84,79.31,76.83,94,Access,Concern for Welfare,,62.1,62.08,91.4,100.0,100,Access,Non Submission,Week 3. Student performing well. Consistent attendance and engagement.,Time management
97080,Master of International Tourism and Hospitality Management - Master of Business Administration,Continuing,Satisfactory,,,,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,,70.63,71.91,60.84,46.32,92,Access,Non Submission,,79.35,75.15,88.39,100.0,91,No Access,Non Submission,,78.99,79.81,62.18,62.75,93,Access,Attendance,Week 8. Strong performance across all subjects. No intervention needed.,Study skills
97584,Postgraduate Qualifying Program - Business,First year,Conditional,,Referencing,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,37.84,34.5,47.44,64.6,76,Access,Concern for Welfare,,53.0,49.73,46.01,28.14,73,Access,Concern for Welfare,,50.48,37.57,57.31,65.46,64,Access,Attendance,Week 7. Missed second assessment. Student contacted and reported feeling overwhelmed. Referred to Academic Support and encouraged to speak with Counsellor.,Late enrollment
21221,Master of Business Administration,Transferred,Conditional,,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,76.73,69.09,64.78,59.44,100,No Access,Concern for Welfare,,75.77,74.59,72.87,91.96,96,Access,Attendance,,80.11,95.88,92.8,100.0,98,Access,Concern for Welfare,Week 8. Strong performance across all subjects. No intervention needed.,Time management
78614,Master of Professional Account and Master of Business Administration,Excluded,Satisfactory,,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,57.11,61.85,52.79,30.67,100,No Access,Non Submission,,92.95,90.6,82.4,72.15,91,No Access,Concern for Welfare,,65.45,59.9,63.23,82.89,93,Access,Non Submission,Week 7. Student maintaining good academic standards.,Time management
57265,Bachelor of Commerce,New,Satisfactory,,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,62.0,75.28,70.49,79.49,90,No Access,Attendance,,83.98,84.09,96.84,100.0,97,Access,Attendance,,55.02,57.39,62.86,63.32,90,Access,Attendance,Week 3. Student performing well. Consistent attendance and engagement.,Time management
18870,Master of Business Administration,Return to Study,Satisfactory,CP1406,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,71.52,66.61,57.74,32.25,84,Access,Concern for Welfare,,56.56,61.91,31.65,11.2,82,Access,Concern for Welfare,,65.81,63.55,47.25,42.81,77,Access,Attendance,Week 8. Strong performance across all subjects. No intervention needed.,Academic progression
78951,"Bachelor of Tourism, Hospitality and Events",Transferred,At Risk,,Essential Skills,Enrollment,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,,17.08,26.14,10.87,6.61,54,No Access,Non Submission,,45.07,47.02,45.44,40.5,59,No Access,Concern for Welfare,,51.17,54.9,43.52,44.81,54,No Access,Concern for Welfare,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,Late enrollment
81313,"Bachelor of Tourism, Hospitality and Events",New,Satisfactory,,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,84.3,89.95,93.62,100.0,84,Access,Non Submission,,63.77,57.29,66.97,79.88,80,Access,Concern for Welfare,,100.0,100.0,88.3,73.24,81,Access,Non Submission,Week 7. Student maintaining good academic standards.,Academic progression
76496,Master of Information Technology,Transferred,Conditional,,,,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,,89.18,87.46,89.65,78.37,80,Access,Concern for Welfare,,83.48,87.48,75.73,59.93,73,Access,Non Submission,,64.61,64.96,72.93,83.65,60,No Access,Non Submission,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Study skills
76535,Bachelor of Information Technology,Excluded,Academic Caution,,,Other,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,Phone,,51.03,46.68,49.43,42.03,76,Access,Attendance,,58.05,58.18,49.07,52.15,72,Access,Non Submission,,54.44,47.71,50.93,52.08,65,No Access,Attendance,Week 7. Missed second assessment. Student contacted and reported feeling overwhelmed. Referred to Academic Support and encouraged to speak with Counsellor.,Study skills
82633,Postgraduate Qualifying Program - Business,Continuing,Satisfactory,,,,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,71.0,74.37,79.98,100.0,100,Access,Attendance,,78.43,69.87,75.73,62.34,100,Access,Non Submission,,95.36,100.0,100.0,100.0,99,Access,Attendance,Week 7. Student maintaining good academic standards.,Study skills
12665,Master of Business Administration,Excluded,Satisfactory,,,Other,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,,73.01,75.94,57.04,48.16,87,Access,Non Submission,,64.43,66.68,63.83,86.89,94,Access,Attendance,,86.0,88.28,83.33,100.0,85,Access,Non Submission,Week 3. Student performing well. Consistent attendance and engagement.,Time management
